Team Name,Year,Blocked Shots Per Game,Scoring Margin,Three Pt FG Defense,Turnovers Per Game,Field-Goal Percentage,Won-Lost Percentage,Scoring Offense,Rebound Margin,Three-Point Field-Goal Percentage,Field-Goal Percentage Defense,Free-Throw Percentage,Assists Per Game,Turnover Margin,Scoring Defense,Three-Point Field Goals Per Game,Personal Fouls Per Game,Steals Per Game,Qualify Prediction,Probability Yes,Probability No
UC Irvine,2019,4.5,5.9,34.4,13.3,44,75,70.4,5,36.2,38,68.6,12.3,-0.6,64.4,6.8,5,6.6,No,0.2031222995,0.7968777005
Saint Mary's (CA),2019,2.1,10.4,31,10.3,48.8,56.3,77,4.2,39,43.7,74.2,11.8,0.9,66.6,8,3,6.5,No,0.2004817246,0.7995182754
Providence,2019,4.4,6.4,34.8,12.8,44.7,71.4,74.7,3.2,38.4,42.2,67.2,14.6,0.7,68.3,7.2,2,6.2,No,0.1988630476,0.8011369524
Western Ky.,2019,5.5,1.1,35.4,14.1,46.2,57.1,73.1,2.6,36.2,44.1,72.9,12.2,-1.6,72.1,5.8,2,7.4,No,0.194819151,0.805180849
Bowling Green,2019,3.2,7.2,36,13.5,44.4,61.5,77.6,12,33.1,39.5,62.8,13.5,-1.2,70.4,7.2,1,5.5,No,0.1939881517,0.8060118483
Akron,2019,3,13.6,31.5,11.8,44,61.5,75,0.5,35,39.3,68.1,13.3,2.8,61.4,10.3,4,5.2,No,0.1935780227,0.8064219773
Northern Colo.,2019,3.1,9.9,37.4,13.7,47.7,61.5,82,5.7,39,45.6,75.2,13.2,-0.9,72.1,10.8,3,4.5,No,0.1925938997,0.8074061003
ETSU,2019,3.6,14.4,32.2,15.4,47.6,75,78.9,14.1,35.3,40.2,66.6,15.4,-0.1,64.5,8.2,5,7.4,No,0.1922815294,0.8077184706
Purdue Fort Wayne,2019,4.3,6.8,37,13.4,49.2,61.1,84.3,0.2,37.2,44.7,66.1,16.2,0.4,77.6,10.8,6,7.5,No,0.1841809589,0.8158190411
Presbyterian,2019,2.3,8.7,34.3,9.7,45.4,53.3,80.2,-2.1,39.4,43.9,70.6,15.9,5.3,71.5,11.3,3,6.3,No,0.1823497919,0.8176502081
La.-Monroe,2019,2.5,6.5,32.5,11.3,44.1,61.5,75.6,-4.3,41.5,42.7,75.4,13.2,2.3,69.1,9.6,1,5.8,No,0.1779311592,0.8220688408
Florida,2019,4.7,11.2,29.6,11.7,44.6,66.7,71,2.3,35.6,39.2,64.8,13.6,4.5,59.8,8.7,1,8.3,No,0.1765449832,0.8234550168
Fordham,2019,4.4,9.2,28.3,11.4,43.8,69.2,71.8,-0.5,35.1,40.2,69.1,12.3,3.7,62.7,9.2,4,5.9,No,0.1644872493,0.8355127507
Dayton,2019,2.5,6.3,34.5,12.7,51.2,61.5,75.5,3.9,32.1,43.2,69.6,17.2,-0.8,69.2,6.2,2,4.8,No,0.1634906578,0.8365093422
Alabama,2019,5.2,5.2,35.1,13.8,45.7,75,76.5,6.7,34,44.2,67.8,12.8,-0.7,71.3,6.9,4,4.6,No,0.1634151585,0.8365848415
Texas,2019,4.7,9,32.3,11.6,42.9,69.2,73.5,1.1,33.5,39.2,66.4,14.2,3,64.5,9.1,4,6.6,No,0.1594712918,0.8405287082
Vermont,2019,4.2,5.9,34.7,10.6,44.8,71.4,76.1,0.2,32.5,44.6,74.7,11.8,3,70.1,7.8,3,5.5,No,0.1591557187,0.8408442813
South Alabama,2019,4.7,3.9,33.2,14.4,45.9,57.1,73.3,-1.7,38.3,43.9,63.5,15.8,0.2,69.4,9.1,4,6.4,No,0.1575112425,0.8424887575
Kansas St.,2019,2.1,7.3,29.6,12.5,42.7,76.9,65.8,5,31.5,39.4,62.4,13.9,2.5,58.5,6,2,7.4,No,0.1513495867,0.8486504133
Tulsa,2019,2.4,3.7,33.1,11.9,45.2,71.4,71.1,-0.9,32.2,39.9,68.4,12.2,0.9,67.4,6.3,2,5.5,No,0.1512863577,0.8487136423
Northern Ky.,2019,3.8,12.2,28.3,12.6,47.2,75,78.3,4.6,35,39.4,63.5,16.4,1.4,66.1,8.9,3,6.5,No,0.1501373738,0.8498626262
Lamar University,2019,3.1,12.1,29.8,15.9,46.3,50,81.9,6.9,33.4,42.4,64.8,15.7,2.6,69.8,7.1,3,10.2,No,0.1499348639,0.8500651361
Loyola Chicago,2019,3.1,9.1,30.9,13.6,49.7,57.1,68.6,2.6,33.7,41.1,64.2,15.1,0.1,59.5,6.4,1,7,No,0.149483887,0.850516113
Saint Louis,2019,4.8,4.5,29.9,14.2,41.9,69.2,67.9,5.4,31.9,40.5,59.6,12.9,0.5,63.4,5.6,0,8.3,No,0.1488162446,0.8511837554
Northern Ill.,2019,1.8,6.5,38.3,12.4,50.5,53.8,79.9,4.9,37.5,44.4,68.2,14,0.1,73.4,7.3,0,4.8,No,0.1422390835,0.8577609165
Rhode Island,2019,4.3,5.9,27.5,12.1,41,58.3,71.5,4.2,25.6,40.4,68.3,11.4,3,65.6,5.4,6,7.8,No,0.1407056679,0.8592943321
Troy,2019,4.5,4.4,36,12.6,46.3,53.8,76.1,0.7,32.7,43.1,73.6,13.9,0.8,71.7,7.6,2,6.5,No,0.1380509401,0.8619490599
Arizona St.,2019,3.9,6.2,33.2,13.2,43.5,69.2,80.2,8.2,33.2,40.5,67.8,13.4,1.1,73.9,6.7,7,6.2,No,0.1320132522,0.8679867478
Arkansas St.,2019,4.6,-1.4,30.5,14.4,41.1,50,75.2,1.9,36.5,42.8,72.7,11.6,-1.2,76.6,7.9,3,7,No,0.1296964686,0.8703035314
UAB,2019,2.2,4.2,31.2,13.9,45.9,64.3,70.5,7,32.1,41.7,64.8,12.3,0.2,66.3,6.4,3,7.1,No,0.1286747532,0.8713252468
Miami (OH),2019,3.3,7.2,32.2,12.3,45.2,61.5,76.3,6.1,34.1,43.9,69.9,12.8,0.4,69.1,9.4,1,5.9,No,0.1262555994,0.8737444006
Indiana St.,2019,3.3,-1.1,33.1,13.9,45.9,61.5,71.5,0.3,42.5,43.2,69.6,12.1,-0.8,72.6,5.9,6,5.5,No,0.1261492295,0.8738507705
Radford,2019,3.4,5.9,33,11,46,57.1,73.9,1.4,39.4,43.1,69.7,14.4,2.5,67.9,8.8,1,6.4,No,0.1248613339,0.8751386661
Missouri,2019,1.9,5.9,32.7,13.7,43.8,75,69.1,3.7,39.3,42,69,11.3,-0.4,63.2,9,7,5.4,No,0.123588967,0.876411033
Sacramento St.,2019,3.5,4.4,33.2,14.8,44.2,54.5,69.6,2.4,27.4,43,63.6,14.6,2.8,65.3,4.2,5,8.5,No,0.1226483237,0.8773516763
SFA,2019,4.4,1.2,34.1,16.7,45.3,61.5,70.1,2.3,37.2,43.3,66.7,13.1,-0.2,68.8,7.2,2,6.5,No,0.121976315,0.878023685
Louisiana,2019,4.7,3.5,37.7,14.8,44.8,61.5,83.6,-3.1,35,44.8,75,14.9,2.3,80.1,8.9,5,8,No,0.1201319652,0.8798680348
Dartmouth,2019,3.9,6.3,31.1,11.8,45.1,56.3,76.1,3,40.2,43.7,71.4,15.9,-1.3,69.8,10.8,0,4.4,No,0.1198716515,0.8801283485
Arizona,2019,2.6,8.4,28.7,11.7,44.9,71.4,73.3,0.2,32.3,41.8,73.5,12.1,3.5,64.9,7,0,5.3,No,0.1194373806,0.8805626194
Oakland,2019,2.8,-1.8,38.6,11.8,47.1,43.8,77.8,-5.8,42.8,50.2,75.2,18.3,0.2,79.6,10.8,8,5.8,No,0.1186255673,0.8813744327
Santa Clara,2019,4.3,4.1,29.3,14.1,46.2,60,73.5,0.5,36.8,41.6,70,15.5,-2.8,69.3,8.2,13,4.7,No,0.1171929663,0.8828070337
Nicholls St.,2019,4.6,-0.1,31.9,13.4,41.4,57.1,73.4,-4.8,33.5,43,78.4,13,1.8,73.5,9.5,5,6.7,No,0.111798247,0.888201753
Hawaii,2019,2.4,4.5,30.4,12.8,44.2,64.3,71.6,1.9,33.4,42.7,68.3,14.8,-0.3,67.1,8.6,3,5,No,0.1090384671,0.8909615329
Valparaiso,2019,2.9,4.3,32.6,13.2,46.5,57.1,73.1,0.2,32.9,44.4,69.7,15.5,0.6,68.9,6.8,0,6.5,No,0.1090134031,0.8909865969
West Virginia,2019,4.9,5.4,33.5,16.2,42.5,61.5,77.8,7.3,33.6,41.4,68.8,14.3,-2.6,72.4,8.5,7,5.5,No,0.1089296623,0.8910703377
BYU,2019,3.1,5.6,35.5,11.4,48,56.3,84.9,-0.3,31.4,42.3,73.8,16.4,1.4,79.3,7.3,9,6.1,No,0.1082000897,0.8917999103
Eastern Ill.,2019,2.9,-3.2,38.3,12.6,42.7,57.1,72.9,-3.4,37.1,46.3,71.5,12.4,1.9,76.1,8.6,1,6.6,No,0.1000218415,0.8999781585
Syracuse,2019,4.5,10.2,30.3,11.6,43,69.2,71.6,0.7,29.9,38.5,69.5,12.5,4.7,61.5,6.7,6,8.8,No,0.0995553983,0.9004446017
American,2019,4.1,5.4,28.6,12.8,46.8,58.3,72.5,-0.3,33.5,40.5,67.6,12.9,-0.6,67.1,7.1,5,6.8,No,0.0982029659,0.9017970341
CSU Bakersfield,2019,3.3,2.1,36.7,13.9,43.8,64.3,72.3,3.9,34.2,44.1,65.4,13.5,1.9,70.1,7.6,3,7.6,No,0.0961581176,0.9038418824
Green Bay,2019,3.5,4.5,33.7,11.8,45.5,53.3,85.7,-3.6,36.3,44.2,67.8,15.7,4.4,81.3,8.9,2,8.6,No,0.0946400573,0.9053599427
Delaware,2019,3.2,1.1,35.8,12.6,46.4,62.5,72.8,0.1,37.9,42.6,71.6,13.3,-2.2,71.6,8.3,2,4.7,No,0.0909525929,0.9090474071
Pacific,2019,1.4,2.3,35.4,13.9,45.5,62.5,76.1,3.6,35.3,46.8,76.8,11.5,0.1,73.9,6.6,5,6.7,No,0.0884089666,0.9115910334
Little Rock,2019,3.4,-0.5,35.7,16.4,50.5,35.7,79,-0.1,35.8,43.8,62.2,16,-2.4,79.5,7.1,10,6.2,No,0.0882438679,0.9117561321
Campbell,2019,3,6.5,34.9,12.5,46.9,50,78.5,-1.5,33.8,44.7,67.9,15.5,2.9,72,9.8,5,8.8,No,0.0880700384,0.9119299616
CSUN,2019,4.7,-5.1,38.7,14.7,47.6,40,77,-1.2,35.1,45.9,62.8,16.6,-1.6,82.1,6.5,6,6.7,No,0.085965932,0.914034068
N.C. A&T,2019,2.8,-7.7,34.8,13.4,46.4,30.8,70.5,-8,37.9,46.3,67.8,13.7,0.4,78.2,7.9,0,6.4,No,0.0846954158,0.9153045842
Hampton,2019,3.6,7,27.7,12.2,41.1,38.5,80.4,2,32.7,41,76.7,13.5,1.1,73.4,7.9,9,6.1,No,0.0770061777,0.9229938223
High Point,2019,3,0.2,36.4,12.9,46.1,50,70.2,4.9,32.1,44.8,63.3,12.7,-0.1,70,5.6,2,7.1,No,0.0757175356,0.9242824644
Omaha,2019,1.9,0.3,36.5,10.9,47.9,50,78.5,-6.1,38.9,47.7,72.2,14.3,3.3,78.2,9.3,1,5.8,No,0.0732632948,0.9267367052
Loyola Maryland,2019,2.6,-7.5,39.5,14.1,45.8,28.6,73.6,-1.3,35.2,47.4,71.3,14.4,-1.6,81.1,6.8,1,6.6,No,0.0724795067,0.9275204933
IUPUI,2019,3,4.5,34,13.8,45.3,56.3,77.6,3.7,32.9,43.7,70.9,13.9,0.6,73.1,7,3,6.4,No,0.072475272,0.927524728
Air Force,2019,1.9,-2.9,35.1,16.1,47.4,38.5,67.2,2.2,33.1,44.3,66.2,13.2,-3.6,70.1,6.5,2,4.8,No,0.070463481,0.929536519
William & Mary,2019,4.2,-4.2,38.8,12.3,46.6,40,73.1,-2.2,33.2,47.1,47.1,16.9,-1.7,77.3,8.4,0,4.5,No,0.0702875132,0.9297124868
UIC,2019,3.7,-1.6,35.4,14.8,46.7,43.8,75.6,-4.1,36,42.9,65.8,14.3,-1,77.1,9.9,5,6.7,No,0.0697989582,0.9302010418
Marshall,2019,4.9,-0.8,36.3,13.3,44.5,57.1,79.9,-8.6,34.2,46.3,67.3,15.1,4.7,80.6,9.5,3,9.3,No,0.0692337387,0.9307662613
UMass Lowell,2019,3.1,3.6,31.9,15.5,49.2,53.3,84.1,0.9,35.1,45.6,69,17.5,-0.7,80.5,7.9,4,6.3,No,0.0685824191,0.9314175809
San Diego St.,2019,3.2,6.5,32,12.8,45.4,61.5,76.9,2.2,39.8,41.4,72,15.9,0.8,70.4,8.8,5,5.8,No,0.0653788072,0.9346211928
California,2019,3.5,-5.2,38.7,11.2,46.3,38.5,73,-5.8,38.1,49.2,76.3,11.1,1.6,78.2,7,2,5.6,No,0.0610623223,0.9389376777
Texas A&M,2019,5.6,4.5,32.4,14.9,45.1,54.5,75.7,5.3,29.1,40.2,69.7,14.2,-0.2,71,6.2,2,7.1,No,0.0610274983,0.9389725017
Charleston So.,2019,2.9,7.2,33.3,15.5,40.7,46.2,77.1,2.5,32.4,45.3,64.8,13.5,6.2,69.9,9.2,3,9.9,No,0.0582370808,0.9417629192
Coastal Caro.,2019,2.8,8.1,29.9,14.2,47.5,53.8,77.5,4.7,40.4,40.7,69.4,13.2,-0.8,69.4,8.6,4,5.5,No,0.0568786119,0.9431213881
UCLA,2019,5.3,4.3,34,13.6,45.6,57.1,77.6,5.7,33.2,39.7,62.7,14.9,-2.9,73.3,7.4,1,5.6,No,0.0545260607,0.9454739393
Harvard,2019,4.3,0.4,34.7,17,47.8,50,69.4,3.7,36.3,43.3,64.1,13.8,-5.3,69,8.4,1,4.9,No,0.0539789637,0.9460210363
Rutgers,2019,4.8,6.1,33.6,13.3,41,58.3,69.1,6.4,31.3,41.3,62.6,13.2,0.5,63,7.3,0,6.7,No,0.0517425018,0.9482574982
Colorado St.,2019,1.7,-2.1,36.6,11.3,46,35.7,75.2,-1.2,35,44.1,70.1,12.7,-1.4,77.3,8.1,2,5.2,No,0.0500269687,0.9499730313
Grand Canyon,2019,2.7,4.9,37,11.6,43.9,57.1,74.1,2.3,30,44.3,72.9,14.3,2.6,69.3,6.9,3,5.9,No,0.0493271239,0.9506728761
Richmond,2019,2.9,2.5,34.5,10.8,47.6,46.2,72.4,-3.5,33,47.6,70.3,15.6,2.2,69.9,7.6,1,8,No,0.0469664269,0.9530335731
Eastern Ky.,2019,3.8,2.1,34.4,15.1,42.1,50,85.1,-2.1,30.9,47,69.3,16,5,82.9,9.1,3,11.2,No,0.0469660713,0.9530339287
Xavier,2019,3.5,4.3,35.6,13.9,48.4,60,75,4.1,33.7,43,68.7,14.7,-1.5,70.7,7.3,5,6.7,No,0.0468000644,0.9531999356
George Mason,2019,3.9,3,33,12.9,46.1,50,73.4,-0.1,34.9,44.3,70.9,12.6,0.5,70.4,6.9,1,6.6,No,0.0464799901,0.9535200099
Massachusetts,2019,2.7,3.4,34.8,12.8,47.3,53.8,79.2,1.3,36.5,44.5,66.9,15.8,0.2,75.8,8.8,2,5.1,No,0.0455591936,0.9544408064
Wake Forest,2019,3.2,2.3,31.6,12.9,44.2,58.3,74.4,6.5,34.5,44.1,71.9,11.5,-1.8,72.2,6.5,1,4.9,No,0.0451169475,0.9548830525
Mercer,2019,2.5,4.9,32.9,13.9,44.5,35.7,73.2,0.9,31.8,41.9,69.7,12.7,1.7,68.3,7.1,2,7.3,No,0.0429402589,0.9570597411
Sacred Heart,2019,3.6,-2.1,36.1,15,47,35.7,82.1,4,36.3,46.3,70.8,15.7,-3.1,84.3,7.8,1,5.3,No,0.0423940366,0.9576059634
Western Ill.,2019,4.6,1.7,36,12.6,44,40,73.1,-0.3,38.1,42.1,73.7,11.1,-0.7,71.4,8.1,3,5.9,No,0.0423882772,0.9576117228
Grambling,2019,4.1,0.3,30.3,15.2,44.6,46.2,71.6,0.4,40.2,40.2,65.1,12.8,-1.9,71.3,6,6,5.6,No,0.040814743,0.959185257
Detroit Mercy,2019,2.8,-4.9,31.4,10.9,40.1,40,70,-9.5,37.3,44,66.1,10.6,3.7,74.9,9.9,3,8.1,No,0.0399116624,0.9600883376
Houston Baptist,2019,1.3,-1.7,40.4,14.3,45.6,41.7,83.3,1.3,34.9,50,66.3,14.6,2,84.9,7.3,2,7.7,No,0.0388683956,0.9611316044
Washington St.,2019,2.8,6.2,33.3,12.7,47.3,53.8,82.2,-0.3,36.3,44.2,72.7,15.9,0.7,76.1,9.8,3,5.2,No,0.0384404087,0.9615595913
Drexel,2019,1.9,0.7,38.3,13.1,48,43.8,79.4,4.9,37.9,48.9,76.8,15.3,-1.9,78.7,7.6,2,4.3,No,0.038421967,0.961578033
Northeastern,2019,1.9,0,37.1,12.7,48.7,50,74,-0.1,39.3,47.6,73.8,14.5,-1.7,74,9.1,4,5.9,No,0.037326887,0.962673113
Oral Roberts,2019,3.3,-5.8,34.4,15.1,45.9,35.3,71.3,1.1,34.1,44.6,65.1,13.8,-4.1,77.1,7.6,4,4.6,No,0.035443846,0.964556154
Boise St.,2019,2.7,2.9,34.3,12.9,46.6,42.9,69.9,2.9,34.4,43,69.7,11.2,-1.3,67.1,7.1,4,5.6,No,0.0345514932,0.9654485068
Missouri St.,2019,3.9,1.9,39.4,13.5,46.8,42.9,77.3,0.4,34.7,44.9,71.9,14.1,1.6,75.4,8.1,2,7,No,0.034400803,0.965599197
Portland St.,2019,3.7,4.5,34.1,15.2,40.9,38.5,79.5,10,28.7,45.3,66.5,14.3,3.1,74.9,7,7,10.1,No,0.0338493222,0.9661506778
New Mexico,2019,3.4,1.2,34.4,15.2,43.4,53.8,78.5,-1.5,36.5,45.4,68.1,14.4,-0.4,77.3,9.8,1,7.8,No,0.0338422116,0.9661577884
South Carolina,2019,5,3.7,37.3,13.7,42.1,41.7,74.1,1.8,30.8,40.9,71.2,13.4,2.8,70.4,6.7,3,6.8,No,0.0338393014,0.9661606986
LIU Brooklyn,2019,4.3,-0.8,32.1,15.2,42.9,46.2,75.2,0.1,31.9,44.1,68.6,13.1,-0.8,76.1,8.7,5,7.8,No,0.0334358878,0.9665641122
Hartford,2019,1.6,-0.9,31.8,13.9,44,46.7,74,-5.6,35.5,46.1,77.2,13,1.8,74.9,8.9,6,7.7,No,0.0334358878,0.9665641122
Idaho,2019,1.8,-1.2,31.9,13.1,45.7,28.6,72.6,0.5,35.2,42.7,70.2,12.1,-3.1,73.9,7.6,2,4.8,No,0.0334358878,0.9665641122
Appalachian St.,2019,2.9,3.9,34.3,14,46.8,35.7,82.4,-1.5,35.7,45.2,70.2,13.4,-0.1,78.4,8.8,8,5.1,No,0.0326866874,0.9673133126
UMBC,2019,2.2,5.3,33.2,13.3,43.1,53.3,70.9,0.1,32.8,41.9,66.7,14.8,3.7,65.5,9,1,8.2,No,0.0325083345,0.9674916655
Pepperdine,2019,2.9,5.3,32.5,12.3,45.3,53.3,79.6,-5.3,37.3,44.9,73.2,15.1,4.2,74.3,9.2,7,7.4,No,0.0275560236,0.9724439764
Wagner,2019,3.7,2.3,35.7,14.9,42,50,72.3,7.1,32.8,42.8,72.8,13.2,-1.3,70.1,8.8,8,6.9,No,0.0260475988,0.9739524012
Southern California,2019,3.4,5.9,33.1,12.4,46.5,57.1,79.5,-0.4,37.2,41.6,66,16.5,1.5,73.6,7.6,7,6.6,No,0.0258371537,0.9741628463
Southern Ill.,2019,4.1,1.6,34.5,15.9,47.4,57.1,70.4,0.7,38.6,41.6,71.7,15.6,-2.5,68.7,7.1,5,6.1,No,0.024885264,0.975114736
Cleveland St.,2019,3.2,-1.7,29.5,14.1,42.7,31.3,74.6,-1.5,36.4,43.2,67.2,15.1,-2.1,76.3,9.8,0,4.7,No,0.0205825243,0.9794174757
East Carolina,2019,4.1,1.6,27,16.2,43.3,53.8,69.8,4.3,27.4,40.9,67.4,13.2,-1.2,68.2,4.6,2,8,No,0.0203947873,0.9796052127
McNeese,2019,3.1,-1.3,35.5,15.8,48.4,38.5,72.2,4.7,30.4,45,69.9,14.2,-4.2,73.5,5.2,3,4.3,No,0.0192607328,0.9807392672
Illinois St.,2019,3.7,-2.2,31.4,13.1,43.4,50,74.1,-2.2,34.8,43.9,71.5,14.9,-0.1,76.3,8.6,6,5,No,0.0174313403,0.9825686597
Bucknell,2019,2.8,-0.2,31.8,12.6,44.7,53.8,73.8,-4.7,36.1,43,70.5,14.7,-0.8,74.1,9.3,3,4.2,No,0.0174313403,0.9825686597
Idaho St.,2019,3.4,0.1,32.1,12.2,45.3,50,76.9,0.7,39.9,45.3,73.5,14.6,-2,76.8,10.5,2,5.2,No,0.0174313403,0.9825686597
UNLV,2019,4.5,2.1,36.9,15.2,41.6,53.8,73.9,10,28.8,44.5,70.6,11.5,-1.6,71.8,6.5,3,5.9,No,0.0173847203,0.9826152797
Towson,2019,3.1,-2.7,33.6,14.3,43,33.3,66.7,7.1,32.3,42.8,72.1,9.7,-3.4,69.4,5.6,7,4.9,No,0.0170217464,0.9829782536
Savannah St.,2019,2.4,-23.1,37.3,16.7,37.4,21.4,77.1,-8.3,28.5,50.7,64.5,15.8,-2.6,100.1,12.2,1,7.4,No,0.0165037232,0.9834962768
North Florida,2019,4.8,-4.7,33,18.2,44.9,40,75.7,0.6,31.5,44.3,71.6,15,-4.6,80.5,8.3,5,6.8,No,0.0161832104,0.9838167896
